time,h_pos_x,h_pos_y,h_pos_z,h_rot_x,h_rot_y,h_rot_z,h_rot_w,l_pos_x,l_pos_y,l_pos_z,l_rot_x,l_rot_y,l_rot_z,l_rot_w,r_pos_x,r_pos_y,r_pos_z,r_rot_x,r_rot_y,r_rot_z,r_rot_w,pose_idle,pose_looking_up,pose_looking_down,pose_looking_left,pose_looking_right,pose_head_tilt_left,pose_head_tilt_right,pose_nodding,pose_shaking_no,pose_tilting_side,Cybersickness,Comments
4,0.036404,1.093307,-0.01437,-0.014529,-0.188661,-0.020831,-0.981714,-0.038158,0.664355,0.209718,0.283289,0.023919,0.122327,0.9509,0.134855,0.68288,0.159485,0.214705,0.048837,-0.099848,0.970334,1,0,0,0,0,0,0,0,0,0,0,No symptoms
5,0.003326,1.103139,-0.013787,0.031948,-0.006414,0.02618,-0.999126,-0.036546,0.670942,0.210149,0.235043,0.025924,0.07643,0.968629,0.136313,0.687488,0.159485,0.185968,0.04934,-0.075691,0.978393,1,0,0,0,0,0,0,0,0,0,0,No symptoms
6,-0.010511,1.115205,-0.022791,0.066883,0.022259,0.020139,-0.997309,-0.042823,0.674125,0.215923,0.217235,0.021911,0.060467,0.973998,0.145005,0.686244,0.164548,0.184408,0.06962,-0.075326,0.977483,1,0,0,0,0,0,0,0,0,0,0,No symptoms
7,-0.018251,1.109161,-0.018425,0.05078,0.061002,0.019725,-0.99665,-0.039769,0.674451,0.214506,0.216381,0.032103,0.059197,0.973984,0.144057,0.686564,0.163565,0.183112,0.064002,-0.076329,0.978033,1,0,0,0,0,0,0,0,0,0,0,No symptoms
8,-0.007636,1.095715,-0.00988,0.003245,0.038097,0.048585,-0.998087,-0.038756,0.675898,0.213774,0.215317,0.036654,0.061104,0.973941,0.143314,0.686795,0.163357,0.18289,0.061315,-0.074757,0.978368,1,0,0,0,0,0,0,0,0,0,0,No symptoms
9,-0.009457,1.10515,-0.017053,0.041829,0.034138,0.032953,-0.997998,-0.038903,0.675601,0.214041,0.214525,0.037757,0.061078,0.974075,0.14219,0.686515,0.162848,0.185049,0.060126,-0.074171,0.97808,1,0,0,0,0,0,0,0,0,0,0,No symptoms
10,-0.004749,1.109671,-0.019219,0.061231,0.021344,0.051194,-0.996581,-0.038356,0.675951,0.213267,0.216325,0.040702,0.061604,0.973526,0.140754,0.685459,0.162641,0.186886,0.057236,-0.073322,0.977968,1,0,0,0,0,0,0,0,0,0,0,No symptoms
11,0.002511,1.109597,-0.019693,0.064856,0.005183,0.057577,-0.996219,-0.036735,0.675568,0.211905,0.219072,0.042403,0.059254,0.972984,0.140753,0.68696,0.162129,0.18641,0.056021,-0.073602,0.978108,1,0,0,0,0,0,0,0,0,0,0,No symptoms
12,-0.003691,1.112557,-0.020296,0.073952,0.000842,0.015081,-0.997147,-0.036293,0.674686,0.212363,0.218134,0.043931,0.058926,0.973147,0.14079,0.685889,0.162172,0.187723,0.0549,-0.072705,0.977988,1,0,0,0,0,0,0,0,0,0,0,No symptoms
13,-0.005119,1.109791,-0.018028,0.069871,0.008251,0.0259,-0.997186,-0.036354,0.674063,0.21206,0.219718,0.044575,0.059333,0.972737,0.137931,0.685291,0.161922,0.190943,0.05308,-0.07279,0.977458,1,0,0,0,0,0,0,0,0,0,0,No symptoms
14,-0.003923,1.103908,-0.010094,0.047523,0.005033,0.027838,-0.99847,-0.03624,0.674019,0.211693,0.220432,0.04593,0.058213,0.97258,0.138727,0.686314,0.16146,0.189331,0.053303,-0.072755,0.977762,0,0,0,0,0,0,0,1,0,0,0,No symptoms
15,-0.006218,1.123966,-0.026807,0.134258,0.011114,0.023635,-0.990602,-0.036261,0.674057,0.21169,0.221311,0.045019,0.057499,0.972465,0.138579,0.685157,0.161113,0.190793,0.052783,-0.07214,0.977552,0,0,0,0,0,0,0,1,0,0,0,No symptoms
16,-0.001732,1.117614,-0.021614,0.107106,-0.007268,0.020797,-0.994004,-0.036231,0.673893,0.211885,0.220339,0.04485,0.057123,0.972716,0.139857,0.685278,0.161561,0.188622,0.054253,-0.071241,0.977959,0,0,0,0,0,0,0,1,0,0,0,No symptoms
17,-0.00189,1.119875,-0.023087,0.115218,-0.009276,0.01612,-0.993166,-0.035883,0.674306,0.211469,0.221641,0.045679,0.056304,0.972429,0.139702,0.68419,0.161846,0.188291,0.051841,-0.071131,0.978161,0,0,0,0,0,0,0,1,0,0,0,No symptoms
18,-0.011683,1.126449,-0.030804,0.145723,0.025633,0.012901,-0.988909,-0.03652,0.675329,0.210946,0.221331,0.045889,0.056707,0.972467,0.13943,0.683518,0.161201,0.187796,0.052625,-0.069177,0.978355,0,0,0,0,0,0,0,1,0,0,0,No symptoms
19,-0.011923,1.127423,-0.030859,0.150944,0.045221,0.039112,-0.986733,-0.036168,0.673751,0.211074,0.222872,0.046544,0.055538,0.972151,0.138881,0.683911,0.161496,0.18769,0.051729,-0.06882,0.978448,0,0,0,0,0,0,0,1,0,0,0,No symptoms
