time,h_pos_x,h_pos_y,h_pos_z,h_rot_x,h_rot_y,h_rot_z,h_rot_w,l_pos_x,l_pos_y,l_pos_z,l_rot_x,l_rot_y,l_rot_z,l_rot_w,r_pos_x,r_pos_y,r_pos_z,r_rot_x,r_rot_y,r_rot_z,r_rot_w,pose_idle,pose_looking_up,pose_looking_down,pose_looking_left,pose_looking_right,pose_head_tilt_left,pose_head_tilt_right,pose_nodding,pose_shaking_no,pose_tilting_side,Cybersickness,
4,-0.007213,1.175943,-0.083881,0.220702,0.020715,-0.086779,-0.971252,-0.240845,0.709932,0.175294,0.065835,0.146303,0.176061,-0.971218,0.098234,0.722708,0.182951,-0.076184,0.100836,0.046876,-0.990874,1,0,0,0,0,0,0,0,0,0,0,
5,-0.031726,1.158304,-0.080141,0.105481,0.218494,-0.03425,-0.969516,-0.241341,0.708818,0.176166,0.064923,0.148541,0.17425,-0.971266,0.095087,0.723514,0.18123,-0.077479,0.107261,0.04093,-0.990362,1,0,0,0,0,0,0,0,0,0,0,
6,-0.000815,1.142526,-0.057597,-0.007062,0.072004,-0.025223,-0.99706,-0.242289,0.708034,0.176893,0.065453,0.14604,0.17316,-0.971804,0.096459,0.718871,0.183679,-0.063604,0.095337,0.006479,-0.99339,1,0,0,0,0,0,0,0,0,0,0,
7,0.022704,1.159804,-0.07065,0.01347,0.04704,0.032348,-0.998278,-0.272182,0.715768,0.206872,0.04844,0.198601,0.043282,-0.977925,0.132105,0.713211,0.27839,-0.030334,-0.00659,-0.009969,-0.999468,1,0,0,0,0,0,0,0,0,0,0,
8,-0.001746,1.121575,-0.038928,-0.084477,0.086074,-0.01441,-0.992596,-0.255116,0.720588,0.211296,0.085504,0.17865,0.084253,-0.976563,0.118894,0.715443,0.274046,-0.013375,-0.013899,-0.033163,-0.999264,1,0,0,0,0,0,0,0,0,0,0,
9,-0.001984,1.135538,-0.057889,-0.01381,0.076166,-0.033838,-0.996425,-0.261252,0.72252,0.209488,0.086574,0.196518,0.069951,-0.974163,0.125082,0.716251,0.279033,-0.017555,-0.029121,-0.032008,-0.998909,0,0,0,0,0,0,0,0,1,0,0,
10,0.014548,1.151269,-0.074187,0.062575,0.037988,0.008944,-0.997277,-0.276254,0.722796,0.223572,0.086414,0.22438,0.06179,-0.968694,0.128396,0.714387,0.281463,-0.034316,-0.032562,-0.025354,-0.998559,1,0,0,0,0,0,0,0,0,0,0,
11,0.011863,1.149067,-0.069344,0.068146,0.014848,-0.011946,-0.997493,-0.263788,0.71954,0.227412,0.094237,0.222401,0.134133,-0.961075,0.133648,0.714021,0.289196,-0.038682,-0.06567,-0.067401,-0.994811,1,0,0,0,0,0,0,0,0,0,0,
12,0.001648,1.146562,-0.068655,0.063658,0.019355,-0.036478,-0.997117,-0.264312,0.719179,0.227763,0.090867,0.224042,0.133738,-0.961074,0.128002,0.713801,0.286991,-0.040883,-0.052463,-0.075054,-0.994959,0,0,0,0,0,0,0,1,0,0,0,
13,-0.004037,1.149224,-0.067285,0.08997,0.039175,-0.032897,-0.99463,-0.262461,0.718415,0.227862,0.09155,0.220352,0.137186,-0.961376,0.126172,0.710441,0.286958,-0.042641,-0.043628,-0.08252,-0.99472,0,0,0,0,0,0,0,1,0,0,0,
14,-0.003924,1.150178,-0.071709,0.093968,0.039266,-0.032019,-0.994285,-0.262639,0.718536,0.227316,0.092531,0.220883,0.135868,-0.961347,0.12586,0.70703,0.28745,-0.043625,-0.038482,-0.086704,-0.994534,0,0,0,0,0,0,0,1,0,0,0,
15,-0.000195,1.153486,-0.073983,0.118563,0.036286,-0.029165,-0.991855,-0.261815,0.718266,0.227007,0.093367,0.220403,0.137272,-0.961177,0.12416,0.705886,0.286908,-0.044415,-0.032131,-0.093073,-0.994149,0,0,0,0,0,0,0,1,0,0,0,
16,0.004099,1.152363,-0.072251,0.115014,0.007685,-0.028344,-0.99293,-0.260775,0.718533,0.226346,0.094789,0.219789,0.140321,-0.960738,0.124352,0.702785,0.287453,-0.046502,-0.029273,-0.095679,-0.993895,0,0,0,0,0,0,0,1,0,0,0,
17,-0.002519,1.14712,-0.067448,0.083724,0.023353,-0.037505,-0.995509,-0.260557,0.718581,0.22627,0.094791,0.220848,0.140989,-0.960397,0.124282,0.701013,0.287572,-0.049994,-0.026374,-0.097913,-0.993588,0,0,0,0,0,0,0,1,0,0,0,
18,-0.001125,1.14429,-0.05843,0.066647,0.039933,-0.019009,-0.996796,-0.260842,0.718827,0.226264,0.094618,0.221961,0.140384,-0.960246,0.12213,0.700465,0.286404,-0.051162,-0.022223,-0.104883,-0.992919,0,0,0,0,0,0,0,1,0,0,0,
19,-0.005013,1.145651,-0.064316,0.056046,0.094403,-0.002466,-0.993952,-0.261473,0.719081,0.22681,0.094987,0.222422,0.140431,-0.960096,0.122823,0.702116,0.286322,-0.049238,-0.023461,-0.105121,-0.992963,0,0,0,0,0,0,0,1,0,0,0,
20,0.005171,1.146521,-0.068327,0.064824,0.050509,-0.006242,-0.996598,-0.260666,0.718524,0.226967,0.09617,0.220395,0.137665,-0.960847,0.1229,0.701531,0.287325,-0.050149,-0.025409,-0.104423,-0.992943,1,0,0,0,0,0,0,0,0,0,0,
21,-0.00098,1.148659,-0.072608,0.073897,0.060462,-0.015485,-0.995311,-0.260367,0.71874,0.227204,0.096416,0.216023,0.137396,-0.961852,0.123046,0.702025,0.287284,-0.044769,-0.02852,-0.106955,-0.992846,1,0,0,0,0,0,0,0,0,0,0,
22,-0.004666,1.149168,-0.076984,0.079976,0.078432,-0.019009,-0.993524,-0.259277,0.719042,0.226365,0.095765,0.213853,0.138374,-0.962262,0.122793,0.701878,0.286871,-0.044783,-0.026195,-0.108283,-0.992765,1,0,0,0,0,0,0,0,0,0,0,
23,-0.005482,1.148997,-0.075681,0.082115,0.095722,-0.008268,-0.991981,-0.259061,0.718534,0.227161,0.094956,0.212768,0.138197,-0.962608,0.121469,0.701469,0.286961,-0.045095,-0.024542,-0.110211,-0.992581,1,0,0,0,0,0,0,0,0,0,0,
24,-0.000349,1.131599,-0.055293,-0.013567,0.066458,-0.022342,-0.997447,-0.258431,0.718292,0.227136,0.095364,0.211179,0.139585,-0.962718,0.122172,0.701556,0.28699,-0.044473,-0.0242,-0.111602,-0.992462,1,0,0,0,0,0,0,0,0,0,0,
25,-0.05944,1.157805,-0.103454,0.139038,0.453418,0.069035,-0.877676,-0.256695,0.718929,0.226322,0.095705,0.210314,0.141147,-0.962646,0.121251,0.701712,0.285646,-0.044812,-0.021023,-0.113739,-0.992277,1,0,0,0,0,0,0,0,0,0,0,
26,-0.027242,1.176986,-0.096684,0.293041,0.253247,0.061419,-0.919903,-0.255679,0.719887,0.224838,0.095469,0.2093,0.140578,-0.962973,0.118586,0.700815,0.287011,-0.045174,-0.020774,-0.116307,-0.991968,1,0,0,0,0,0,0,0,0,0,0,
27,0.024942,1.156985,-0.068327,0.162017,-0.134033,-0.032504,-0.977103,-0.256272,0.721246,0.224798,0.095617,0.207607,0.143021,-0.962965,0.117969,0.700425,0.286301,-0.044686,-0.01847,-0.119986,-0.991597,0,1,0,0,0,0,0,0,0,0,0,
28,-0.032688,1.181726,-0.129027,0.418816,-0.113137,-0.179001,-0.883036,-0.256694,0.721855,0.226356,0.09613,0.207567,0.140678,-0.963268,0.118954,0.7,0.285928,-0.049071,-0.024105,-0.120687,-0.991184,0,1,0,0,0,0,0,0,0,0,0,
29,-0.006257,1.128032,-0.053372,-0.032704,0.018866,-0.069787,-0.996847,-0.256272,0.72041,0.226692,0.093902,0.204686,0.142491,-0.963837,0.117657,0.702359,0.286992,-0.047622,-0.020298,-0.117927,-0.991672,1,0,0,0,0,0,0,0,0,0,0,
