time,h_pos_x,h_pos_y,h_pos_z,h_rot_x,h_rot_y,h_rot_z,h_rot_w,l_pos_x,l_pos_y,l_pos_z,l_rot_x,l_rot_y,l_rot_z,l_rot_w,r_pos_x,r_pos_y,r_pos_z,r_rot_x,r_rot_y,r_rot_z,r_rot_w,pose_idle,pose_looking_up,pose_looking_down,pose_looking_left,pose_looking_right,pose_head_tilt_left,pose_head_tilt_right,pose_nodding,pose_shaking_no,pose_tilting_side,Cybersickness,Comments
4,-0.023193,1.056424,-0.064306,0.079959,0.076251,-0.026646,-0.99352,-0.275075,0.99204,0.18172,-0.123957,0.02183,0.560153,0.818772,0.133327,0.970393,0.257844,-0.05614,-0.044658,-0.314309,0.946607,1,0,0,0,0,0,0,0,0,0,0,Start
5,-0.0168,1.059095,-0.070701,0.087803,0.052818,-0.02428,-0.99444,-0.226936,1.003183,0.187013,-0.106918,0.056067,0.355113,0.926995,0.111032,0.967928,0.249124,-0.112797,-0.049947,-0.119544,0.985135,1,0,0,0,0,0,0,0,0,0,0,Start
6,-0.03673,1.158597,0.176763,-0.035921,0.025575,-0.0633,-0.99702,-0.22099,0.967633,0.2607,-0.110595,-0.010478,0.125305,0.985879,0.130754,0.983205,0.325025,-0.152664,0.039893,-0.03908,0.986699,1,0,0,0,0,0,0,0,0,0,0,Start
7,-0.100677,1.152964,0.143638,-0.042124,0.153652,-0.006442,-0.987206,-0.218904,0.960459,0.274761,-0.047503,-0.071982,0.140874,0.986264,0.083017,0.960332,0.342454,-0.092616,0.04687,-0.075115,0.991758,1,0,0,0,0,0,0,0,0,0,0,Start
8,-0.013469,1.05148,0.024382,-0.179631,0.0887,-0.016475,-0.979588,-0.170706,0.988332,0.180892,-0.118804,-0.036852,0.123762,0.984485,0.127363,0.972827,0.235624,-0.124071,0.019466,-0.146329,0.981231,1,0,0,0,0,0,0,0,0,0,0,Start
9,-0.009909,1.058978,0.019672,-0.133181,0.114959,-0.001624,-0.984401,-0.166132,0.981638,0.188082,-0.116101,-0.034425,0.130756,0.983991,0.117997,0.969195,0.232329,-0.117765,-0.014885,-0.120264,0.98562,1,0,0,0,0,0,0,0,0,0,0,Start
10,0.007655,1.072976,0.016616,-0.085265,0.091309,0.037093,-0.991472,-0.165555,0.980039,0.189452,-0.114719,-0.032461,0.129358,0.984404,0.119607,0.971813,0.230057,-0.126111,-0.017226,-0.119949,0.984587,1,0,0,0,0,0,0,0,0,0,0,Start
11,0.028365,1.085086,0.002626,-0.050041,0.009949,0.004386,-0.998688,-0.166143,0.974183,0.198098,-0.103719,-0.039206,0.12445,0.986011,0.125906,0.967082,0.24027,-0.117022,0.005548,-0.116598,0.986245,0,0,0,0,0,0,0,1,0,0,0,Idle
12,-0.005124,1.108282,-0.064463,0.009432,0.041539,-0.00239,-0.99909,-0.179476,0.971864,0.186016,-0.078632,-0.021727,0.171097,0.981871,0.108354,0.960362,0.22666,-0.095873,0.029593,-0.084601,0.99135,1,0,0,0,0,0,0,0,0,0,0,Idle
13,0.006157,1.108519,-0.054126,0.015475,0.012671,0.017666,-0.999644,-0.189322,0.978723,0.181151,-0.106422,-0.051396,0.159123,0.98016,0.104904,0.958769,0.220469,-0.095689,-0.007055,-0.075616,0.99251,1,0,0,0,0,0,0,0,0,0,0,Idle
14,0.012023,1.106787,-0.050402,0.009616,0.011577,0.031752,-0.999382,-0.180649,0.973258,0.185943,-0.097812,-0.043494,0.147667,0.983227,0.105284,0.958961,0.220337,-0.099563,-0.013793,-0.074378,0.992152,0,0,0,0,0,0,0,1,0,0,0,Idle
15,0.000527,1.125344,-0.066428,0.098794,0.027624,-0.001448,-0.994723,-0.18422,0.978076,0.181824,-0.110751,-0.047031,0.148324,0.981592,0.099437,0.957251,0.220004,-0.097249,-0.023166,-0.067994,0.992665,0,0,0,0,0,0,0,1,0,0,0,Idle
