time,h_pos_x,h_pos_y,h_pos_z,h_rot_x,h_rot_y,h_rot_z,h_rot_w,l_pos_x,l_pos_y,l_pos_z,l_rot_x,l_rot_y,l_rot_z,l_rot_w,r_pos_x,r_pos_y,r_pos_z,r_rot_x,r_rot_y,r_rot_z,r_rot_w,pose_idle,pose_looking_up,pose_looking_down,pose_looking_left,pose_looking_right,pose_head_tilt_left,pose_head_tilt_right,pose_nodding,pose_shaking_no,pose_tilting_side,Cybersickness,Comments
4,-0.021368,1.2237,0.011342,-0.002056,-0.042807,0.004,0.999073,-0.12163,0.801825,0.306014,0.0482,-0.019892,0.099602,0.99366,0.110788,0.780766,0.275635,0.085562,-0.048031,-0.186245,0.977591,1,0,0,0,0,0,0,0,0,0,0,start
5,-0.020263,1.230866,0.009758,-0.042144,-0.038089,5.20E-05,0.998385,-0.120941,0.799743,0.306071,0.034582,-0.029528,0.086682,0.995198,0.11015,0.78088,0.274946,0.074365,-0.041606,-0.154002,0.984389,1,0,0,0,0,0,0,0,0,0,0,start
6,-0.027975,1.234344,0.003687,-0.061339,-0.073937,-0.003835,0.995367,-0.120973,0.800489,0.30554,0.030714,-0.028216,0.088656,0.995189,0.107566,0.792889,0.270103,0.015642,-0.0129,-0.099399,0.994841,1,0,0,0,0,0,0,0,0,0,0,start
7,-0.030048,1.23461,0.004093,-0.060441,-0.101198,-0.018605,0.992854,-0.118883,0.800727,0.30489,0.028379,-0.023121,0.086254,0.995601,0.104817,0.788877,0.268968,-0.000916,-0.017193,-0.058768,0.998123,1,0,0,0,0,0,0,0,0,0,0,start
8,-0.025289,1.209049,0.022096,0.054361,-0.070441,-0.010056,0.995983,-0.117377,0.801208,0.304291,0.023976,-0.019785,0.080148,0.996298,0.105207,0.788834,0.26983,-0.003638,-0.011219,-0.041896,0.999052,1,0,0,0,0,0,0,0,0,0,0,start
9,-0.029361,1.217338,0.019392,0.015941,-0.07907,-0.001132,0.996741,-0.117635,0.801992,0.303299,0.021114,-0.021099,0.07541,0.996706,0.104028,0.787289,0.269148,0.00546,-0.004295,-0.034169,0.999392,1,0,0,0,0,0,0,0,0,0,0,start
10,-0.024394,1.223278,0.01907,-0.010924,-0.063217,-0.008886,0.9979,-0.116274,0.805041,0.302773,0.021574,-0.021298,0.07451,0.996759,0.104363,0.787532,0.270028,0.005284,-0.002631,-0.032119,0.999467,1,0,0,0,0,0,0,0,0,0,0,start
11,-0.014665,1.224282,0.015979,-0.021006,-0.031296,-0.018236,0.999123,-0.11557,0.808911,0.300274,0.020632,-0.019919,0.073916,0.996852,0.103502,0.788853,0.269076,0.005282,-0.004089,-0.030576,0.99951,0,0,0,0,0,0,0,0,1,0,0,
12,-0.009486,1.227437,0.015549,-0.040064,0.065878,0.044108,0.996047,-0.115912,0.809305,0.300507,0.018871,-0.01911,0.07549,0.996785,0.101689,0.787524,0.268884,0.009345,-0.006967,-0.027602,0.999551,0,0,0,0,0,0,0,0,1,0,0,
13,-0.00401,1.22433,0.013301,-0.024567,0.039586,-0.007521,0.998886,-0.120652,0.806931,0.303852,0.017021,-0.022914,0.075825,0.996712,0.101099,0.790843,0.266787,0.005941,-0.007888,-0.026914,0.999589,0,0,0,0,0,0,0,0,1,0,0,
14,-0.016866,1.212761,0.023967,0.025959,-0.006705,0.000481,0.99964,-0.120424,0.805333,0.304664,0.016009,-0.021347,0.07525,0.996808,0.100939,0.787907,0.268381,0.008479,-0.007201,-0.025524,0.999612,0,0,0,0,0,0,0,0,1,0,0,
15,-0.013338,1.232655,0.018769,-0.07495,0.001481,-0.002413,0.997183,-0.121913,0.805329,0.305907,0.014764,-0.022589,0.076051,0.996739,0.099912,0.78446,0.270871,0.008581,-0.010071,-0.022536,0.999659,0,0,0,0,0,0,0,0,1,0,0,
16,-0.016017,1.252103,-0.002892,-0.164794,-0.005706,-0.005444,0.986296,-0.123628,0.808006,0.303266,0.01577,-0.023174,0.076311,0.99669,0.09901,0.781259,0.271592,0.00981,-0.010723,-0.021541,0.999662,1,0,0,0,0,0,0,0,0,0,0,
17,-0.015782,1.250272,-0.004281,-0.147007,-0.00948,-0.013045,0.989004,-0.121773,0.810543,0.302,0.015297,-0.022564,0.074435,0.996853,0.099473,0.780153,0.271093,0.011177,-0.008212,-0.020813,0.999687,1,0,0,0,0,0,0,0,0,0,0,
18,-0.022086,1.255427,-0.005655,-0.173902,-0.041789,-0.010558,0.983819,-0.122784,0.813098,0.300908,0.016082,-0.02218,0.074258,0.996863,0.09909,0.780686,0.271341,0.010722,-0.009269,-0.020588,0.999688,0,1,0,0,0,0,0,0,0,0,0,
19,-0.023198,1.253828,0.001398,-0.176728,-0.055531,-0.02775,0.9823,-0.122282,0.814562,0.299241,0.016202,-0.019865,0.075433,0.996821,0.099077,0.781577,0.26781,0.015512,-0.011258,-0.023154,0.999548,0,1,0,0,0,0,0,0,0,0,0,
20,-0.029961,1.240864,0.008237,-0.107273,-0.075733,-0.014278,0.991238,-0.123409,0.812536,0.301151,0.017958,-0.018369,0.077514,0.99666,0.099788,0.78114,0.269705,0.020249,-0.00762,-0.026926,0.999403,1,0,0,0,0,0,0,0,0,0,0,
21,-0.027286,1.240541,0.003283,-0.10636,-0.064633,-0.0264,0.991874,-0.122829,0.813731,0.300802,0.01763,-0.018329,0.077134,0.996696,0.097762,0.782576,0.268985,0.02168,-0.008289,-0.022469,0.999478,1,0,0,0,0,0,0,0,0,0,0,
22,-0.022081,1.241595,0.004485,-0.107177,-0.042932,-0.030252,0.992852,-0.123169,0.812949,0.301408,0.01788,-0.019963,0.077052,0.996667,0.098512,0.783743,0.267813,0.019396,-0.009019,-0.021999,0.999529,1,0,0,0,0,0,0,0,0,0,0,
23,-0.022984,1.242663,0.0047,-0.112648,-0.059309,-0.03739,0.991158,-0.123641,0.811309,0.301527,0.018098,-0.01979,0.077468,0.996634,0.098675,0.782772,0.268065,0.020146,-0.009093,-0.021803,0.999518,1,0,0,0,0,0,0,0,0,0,0,
24,-0.025336,1.204993,0.027197,0.060931,-0.06197,-0.015992,0.996088,-0.122843,0.806986,0.303681,0.017772,-0.018309,0.075376,0.996829,0.101499,0.781569,0.270361,0.020719,-0.004829,-0.024339,0.999477,0,0,0,0,0,0,0,1,0,0,0,
25,-0.026847,1.219016,0.024557,-0.001059,-0.063312,-0.008312,0.997959,-0.12444,0.803994,0.306065,0.018812,-0.019773,0.076518,0.996695,0.100281,0.779349,0.271342,0.024282,-0.004856,-0.023365,0.99942,0,0,0,0,0,0,0,1,0,0,0,
26,-0.016583,1.229498,0.021164,-0.052916,-0.032749,-0.025897,0.997726,-0.123978,0.803809,0.305857,0.018536,-0.019107,0.076047,0.996749,0.100758,0.779451,0.271389,0.023706,-0.004326,-0.023716,0.999428,1,0,0,0,0,0,0,0,0,0,0,
