time,h_pos_x,h_pos_y,h_pos_z,h_rot_x,h_rot_y,h_rot_z,h_rot_w,l_pos_x,l_pos_y,l_pos_z,l_rot_x,l_rot_y,l_rot_z,l_rot_w,r_pos_x,r_pos_y,r_pos_z,r_rot_x,r_rot_y,r_rot_z,r_rot_w,pose_idle,pose_looking_up,pose_looking_down,pose_looking_left,pose_looking_right,pose_head_tilt_left,pose_head_tilt_right,pose_nodding,pose_shaking_no,pose_tilting_side,Cybersickness,Comments
4,-0.050274,1.279475,-0.018159,-0.054552,-0.097681,0.007921,0.99369,-0.233336,0.968878,0.228272,-0.176186,0.34666,-0.201218,-0.899053,0.055886,0.985523,0.220069,0.065682,-0.024896,-0.077911,0.994483,1,0,0,0,0,0,0,0,0,0,0,start
5,-0.052125,1.279894,-0.018342,-0.054435,-0.103114,0.010075,0.993128,-0.20876,0.979538,0.219835,-0.041511,0.255735,-0.101904,-0.960465,0.055608,0.985806,0.221267,0.066508,-0.023749,-0.074315,0.994731,1,0,0,0,0,0,0,0,0,0,0,start
6,-0.056755,1.278298,-0.023049,-0.042722,-0.139794,-0.000759,0.989258,-0.218071,0.9712,0.220666,-0.059658,0.277689,-0.087717,-0.954796,0.05542,0.98608,0.220961,0.066174,-0.025401,-0.071714,0.994903,1,0,0,0,0,0,0,0,0,0,0,start
7,-0.067515,1.277136,-0.026211,-0.031399,-0.216509,-0.019257,0.975585,-0.217067,0.970663,0.220441,-0.049007,0.279309,-0.083672,-0.955293,0.056026,0.984861,0.220745,0.068611,-0.024757,-0.077121,0.99435,1,0,0,0,0,0,0,0,0,0,0,start
8,-0.060505,1.269607,-0.019135,0.007438,-0.161881,-0.00123,0.986782,-0.215976,0.970123,0.220307,-0.048344,0.274993,-0.079181,-0.95696,0.056107,0.983614,0.220706,0.069042,-0.023507,-0.0778,0.994298,0,0,0,1,0,0,0,0,0,0,0,start
9,-0.064744,1.268176,-0.019837,0.020268,-0.165021,0.008797,0.986043,-0.215806,0.970972,0.219413,-0.048321,0.27301,-0.079106,-0.957535,0.05454,0.986472,0.221509,0.065368,-0.026117,-0.07498,0.994697,0,0,0,1,0,0,0,0,0,0,0,start
10,-0.062134,1.268255,-0.018753,0.021231,-0.155862,0.010997,0.987489,-0.215693,0.971083,0.220242,-0.047964,0.272909,-0.078999,-0.95759,0.054357,0.987005,0.221476,0.064783,-0.025484,-0.075918,0.994681,0,0,0,1,0,0,0,0,0,0,0,start
11,-0.056874,1.268146,-0.018048,0.022733,-0.144348,0.004799,0.989254,-0.213838,0.970364,0.220336,-0.046058,0.270071,-0.069884,-0.959196,0.058186,0.985928,0.221509,0.06614,-0.016207,-0.076446,0.994746,0,0,0,1,0,0,0,0,0,0,0,
12,-0.060505,1.268142,-0.019085,0.02225,-0.144118,0.017745,0.989151,-0.212349,0.972518,0.219694,-0.02961,0.263861,-0.0425,-0.963169,0.064135,0.993645,0.223865,0.055185,-0.007706,-0.078101,0.995387,0,0,0,1,0,0,0,0,0,0,0,
13,-0.059773,1.265546,-0.017049,0.033285,-0.135401,0.022299,0.989981,-0.21135,0.972731,0.219293,-0.026965,0.261938,-0.040874,-0.963842,0.062493,0.991445,0.222574,0.059813,-0.007464,-0.079612,0.995002,0,0,0,1,0,0,0,0,0,0,0,
