time,h_pos_x,h_pos_y,h_pos_z,h_rot_x,h_rot_y,h_rot_z,h_rot_w,l_pos_x,l_pos_y,l_pos_z,l_rot_x,l_rot_y,l_rot_z,l_rot_w,r_pos_x,r_pos_y,r_pos_z,r_rot_x,r_rot_y,r_rot_z,r_rot_w,pose_idle,pose_looking_up,pose_looking_down,pose_looking_left,pose_looking_right,pose_head_tilt_left,pose_head_tilt_right,pose_nodding,pose_shaking_no,pose_tilting_side,Cybersickness,
4,-0.009804,1.121052,-0.02988,0.113035,0.024331,-0.016539,-0.993155,-0.074815,0.729236,0.326945,-0.030406,0.045004,0.06026,-0.996704,0.291403,0.712617,0.255545,-0.042662,0.200324,0.351552,0.913489,1,0,0,0,0,0,0,0,0,0,0,
5,-0.001367,1.1149,-0.02528,0.086131,-0.008792,-0.007579,-0.996216,-0.082838,0.734392,0.328861,-0.024208,0.076731,0.041227,-0.995905,0.299435,0.725802,0.253664,-0.025521,0.201205,0.237376,0.950009,1,0,0,0,0,0,0,0,0,0,0,
6,-0.003114,1.110926,-0.023693,0.064465,0.001522,-0.004915,-0.997907,-0.061509,0.717658,0.319903,-0.029472,0.003444,0.155867,-0.987332,0.254319,0.661719,0.243067,0.013775,0.018276,0.510796,0.859398,1,0,0,0,0,0,0,0,0,0,0,
7,0.001067,1.109711,-0.023347,0.057253,0.010268,0.015587,-0.998185,-0.079685,0.732675,0.327025,-0.034137,0.063716,0.041452,-0.996522,0.290261,0.716634,0.255059,-0.052774,0.196964,0.335443,0.919727,1,0,0,0,0,0,0,0,0,0,0,
8,0.011908,1.103293,-0.021993,0.031901,-0.025618,0.025126,-0.998847,-0.08006,0.74213,0.32382,-0.009888,0.075479,0.029188,-0.996671,0.294251,0.725298,0.252996,-0.034389,0.214139,0.287114,0.933021,0,0,0,0,0,0,0,1,0,0,0,
9,0.006678,1.102792,-0.022562,0.031739,-0.011127,0.021509,-0.999203,-0.080933,0.741889,0.32205,-0.013636,0.071163,0.03794,-0.99665,0.288032,0.719821,0.25395,-0.028285,0.198338,0.315559,0.927515,0,0,0,0,0,0,0,1,0,0,0,
10,0.005519,1.108299,-0.025332,0.055376,-0.004951,0.024286,-0.998158,-0.081361,0.739477,0.323747,-0.012556,0.077461,0.03987,-0.996119,0.289889,0.717911,0.254233,-0.029472,0.198562,0.317643,0.926719,0,0,0,0,0,0,0,1,0,0,0,
11,0.012405,1.105598,-0.025271,0.044027,-0.034368,0.028531,-0.998031,-0.081559,0.739552,0.323812,-0.008962,0.076664,0.041562,-0.99615,0.289492,0.716603,0.254236,-0.031654,0.19703,0.323703,0.924875,1,0,0,0,0,0,0,0,0,0,0,
12,0.021354,1.111339,-0.028117,0.069724,-0.06493,0.029037,-0.995027,-0.081427,0.741853,0.323079,0.018922,0.082573,0.059256,-0.994642,0.306474,0.717567,0.259522,0.01029,0.249336,0.288556,0.924371,0,0,0,0,0,0,0,1,0,0,0,
13,0.003954,1.113475,-0.030364,0.076908,-0.030388,-0.01028,-0.996522,-0.08258,0.741315,0.324695,0.012831,0.082701,0.04754,-0.995357,0.299041,0.719817,0.256439,-0.025258,0.231379,0.301034,0.924773,1,0,0,0,0,0,0,0,0,0,0,
