time,h_pos_x,h_pos_y,h_pos_z,h_rot_x,h_rot_y,h_rot_z,h_rot_w,l_pos_x,l_pos_y,l_pos_z,l_rot_x,l_rot_y,l_rot_z,l_rot_w,r_pos_x,r_pos_y,r_pos_z,r_rot_x,r_rot_y,r_rot_z,r_rot_w,pose_idle,pose_looking_up,pose_looking_down,pose_looking_left,pose_looking_right,pose_head_tilt_left,pose_head_tilt_right,pose_nodding,pose_shaking_no,pose_tilting_side,Cybersickness,Comments
4,0.00316,0.930318,-0.005293,0.010814,-0.004029,0.01141,-0.999868,-0.150904,0.711639,0.215047,0.148743,0.105747,0.016189,-0.983072,0.137563,0.678645,0.242131,-0.040178,0.035431,0.174885,0.983131,1,0,0,0,0,0,0,0,0,0,0,Start
5,0.003983,0.930812,-0.006252,0.012876,-0.005687,0.013869,-0.999805,-0.150748,0.711851,0.214909,0.148882,0.106183,0.016215,-0.983004,0.137955,0.678777,0.242083,-0.041363,0.035898,0.174998,0.983044,1,0,0,0,0,0,0,0,0,0,0,Start
6,0.003178,0.930539,-0.00632,0.012878,-0.004731,0.014224,-0.999805,-0.15101,0.711631,0.214972,0.148556,0.106198,0.016472,-0.983047,0.137603,0.678824,0.241763,-0.041998,0.036378,0.175148,0.982973,1,0,0,0,0,0,0,0,0,0,0,Start
7,0.00654,0.93366,-0.003721,0.017622,-0.010391,0.017196,-0.999643,-0.151228,0.711768,0.215667,0.146854,0.107307,0.016179,-0.983187,0.138752,0.679357,0.242538,-0.041601,0.037239,0.173897,0.98318,1,0,0,0,0,0,0,0,0,0,0,Start
8,0.010659,0.93057,-0.003506,0.011084,-0.019694,0.027811,-0.999358,-0.150678,0.711445,0.215202,0.146188,0.106869,0.016941,-0.983322,0.13805,0.679077,0.241736,-0.041852,0.035189,0.173083,0.983388,1,0,0,0,0,0,0,0,0,0,0,Start
9,0.008465,0.929602,-0.00266,0.00739,-0.016083,0.022479,-0.999591,-0.150717,0.710912,0.215602,0.145092,0.105837,0.016873,-0.983596,0.137613,0.677898,0.242146,-0.038871,0.034075,0.173512,0.983474,1,0,0,0,0,0,0,0,0,0,0,Start
10,0.005947,0.930245,-0.003547,0.008934,-0.012394,0.018377,-0.999714,-0.150295,0.711326,0.214964,0.1455,0.105104,0.018021,-0.983595,0.137493,0.67734,0.243019,-0.032271,0.033868,0.174161,0.983605,1,0,0,0,0,0,0,0,0,0,0,Start
11,0.004174,0.929568,-0.003702,0.007757,-0.008674,0.014826,-0.999822,-0.150742,0.711066,0.21569,0.141004,0.102379,0.015351,-0.984582,0.139935,0.673488,0.246663,-0.004815,0.035392,0.165978,0.985482,1,0,0,0,0,0,0,0,0,0,0,
12,-0.000981,0.928783,-0.002869,0.005405,-0.011808,-0.021147,-0.999692,-0.150042,0.708441,0.21825,0.117876,0.104679,0.015925,-0.987367,0.141617,0.681296,0.244134,-0.0071,0.029236,0.147824,0.988556,1,0,0,0,0,0,0,0,0,0,0,
13,-0.089814,0.898002,0.005384,-0.034508,0.133704,-0.323842,-0.93598,-0.15855,0.700066,0.227097,0.012715,0.115261,-0.040759,-0.992417,0.155077,0.796609,0.259714,-0.02327,0.046585,0.153145,0.986831,0,0,0,0,0,0,0,0,0,1,0,
14,0.047772,0.915886,0.018908,-0.054912,-0.096476,0.110458,-0.987662,-0.142817,0.699655,0.223896,0.076144,0.102143,0.037454,-0.991144,0.145573,0.690571,0.256954,0.13924,-0.004717,0.108588,0.984276,0,0,0,0,0,0,0,0,0,1,0,
15,-0.069553,0.908752,0.009327,-0.034787,0.165139,-0.209801,-0.96307,-0.149791,0.699062,0.226277,0.038262,0.095144,-0.00682,-0.994705,0.130111,0.697772,0.247674,0.046385,-0.031676,0.153751,0.986512,0,0,0,0,0,0,0,0,0,1,0,
16,0.068238,0.915424,0.009673,-0.036706,-0.200705,0.14442,-0.968253,-0.146196,0.693857,0.229897,0.022968,0.091476,0.004957,-0.99553,0.136459,0.691781,0.255111,0.042726,-0.027752,0.157764,0.986162,0,0,0,0,0,0,0,0,0,1,0,
17,0.036844,0.930971,0.01188,0.000695,-0.170669,-0.041435,-0.984457,-0.144571,0.694997,0.228047,0.023915,0.089376,0.005402,-0.995696,0.135116,0.690271,0.25394,0.042112,-0.031904,0.160564,0.98561,0,0,0,0,0,0,0,0,0,1,0,
18,0.001281,0.930341,0.012358,-0.000244,0.003345,-0.007774,-0.999964,-0.146329,0.695957,0.229639,0.023774,0.088704,0.000996,-0.995774,0.13531,0.691125,0.255893,0.041081,-0.011863,0.161016,0.986025,1,0,0,0,0,0,0,0,0,0,0,
19,0.012,0.928837,0.006963,-0.000901,-0.018967,0.015942,-0.999693,-0.145906,0.692166,0.231425,-8.90E-05,0.081991,-0.005528,-0.996618,0.133951,0.673952,0.260788,0.022124,-0.016557,0.185691,0.982219,0,0,0,0,0,0,0,0,1,0,0,
20,0.009189,0.928228,0.007049,-0.001226,-0.013812,0.009098,-0.999863,-0.145328,0.690599,0.232057,-0.006803,0.071957,-0.006905,-0.997361,0.132318,0.670732,0.261582,0.021342,-0.022736,0.190552,0.981182,1,0,0,0,0,0,0,0,0,0,0,
21,0.006679,0.926076,0.007554,-0.011119,-0.00961,0.00547,-0.999877,-0.143324,0.694096,0.229187,0.026855,0.07349,0.011493,-0.996868,0.132328,0.66881,0.26273,0.027617,-0.01982,0.196473,0.97992,1,0,0,0,0,0,0,0,0,0,0,
22,0.008688,0.923557,0.007459,-0.028281,-0.016324,0.002158,-0.999464,-0.140903,0.675766,0.239094,-0.09759,0.020444,-0.031452,-0.994519,0.133966,0.654579,0.267637,0.078919,0.005137,0.246602,0.965884,1,0,0,0,0,0,0,0,0,0,0,
23,0.006664,0.92517,0.007055,-0.022028,-0.008912,0.005546,-0.999702,-0.148154,0.656592,0.248109,-0.224695,0.025341,-0.087699,-0.970144,0.12579,0.674409,0.254228,-0.041051,-0.016301,0.247456,0.967892,1,0,0,0,0,0,0,0,0,0,0,
