time,h_pos_x,h_pos_y,h_pos_z,h_rot_x,h_rot_y,h_rot_z,h_rot_w,l_pos_x,l_pos_y,l_pos_z,l_rot_x,l_rot_y,l_rot_z,l_rot_w,r_pos_x,r_pos_y,r_pos_z,r_rot_x,r_rot_y,r_rot_z,r_rot_w,pose_idle,pose_looking_up,pose_looking_down,pose_looking_left,pose_looking_right,pose_head_tilt_left,pose_head_tilt_right,pose_nodding,pose_shaking_no,pose_tilting_side,Cybersickness,Comments
4,-0.003319,1.117351,0.009313,0.087103,-0.00874,0.003265,-0.996156,-0.188717,0.704112,0.306552,-0.092841,0.192238,0.23581,-0.948061,0.190796,0.726957,0.325709,-0.007837,0.195309,0.142616,0.970285,1,0,0,0,0,0,0,0,0,0,0,Start
5,-0.003799,1.117016,0.010272,0.086184,-0.008254,0.004061,-0.996237,-0.188587,0.70445,0.306365,-0.091458,0.191645,0.236929,-0.948036,0.18932,0.726472,0.325878,-0.007892,0.191567,0.146367,0.970472,1,0,0,0,0,0,0,0,0,0,0,Start
6,-0.004084,1.117049,0.010042,0.086598,-0.007627,0.003409,-0.996208,-0.18905,0.703805,0.307088,-0.091502,0.192816,0.236324,-0.947945,0.189212,0.726224,0.325964,-0.007915,0.19129,0.145876,0.970601,1,0,0,0,0,0,0,0,0,0,0,Start
7,-0.002545,1.116473,0.010303,0.083924,-0.008785,0.005775,-0.996417,-0.189321,0.703134,0.307039,-0.093079,0.194116,0.234992,-0.947858,0.189326,0.726285,0.325838,-0.007002,0.192334,0.144169,0.970656,1,0,0,0,0,0,0,0,0,0,0,Start
8,-0.00224,1.115585,0.012529,0.078167,-0.009122,0.00579,-0.996882,-0.189622,0.703443,0.30706,-0.093772,0.194222,0.23432,-0.947934,0.189147,0.726036,0.325835,-0.0059,0.191672,0.143551,0.970886,0,0,0,0,0,0,0,1,0,0,0,Start
9,-0.004288,1.115763,0.014265,0.075341,-0.000218,0.005833,-0.997141,-0.190172,0.703526,0.307554,-0.093258,0.196723,0.23289,-0.947821,0.188984,0.726012,0.326252,-0.005482,0.191161,0.143336,0.971021,0,0,0,0,0,0,0,1,0,0,0,Start
10,-0.007192,1.115505,0.0153,0.07513,0.005607,0.00327,-0.997153,-0.19087,0.704277,0.30759,-0.091562,0.196898,0.233292,-0.947852,0.188155,0.726368,0.325895,-0.006878,0.189939,0.144325,0.971106,0,0,0,0,0,0,0,1,0,0,0,Start
11,-0.007493,1.115506,0.014584,0.076348,0.005327,0.002178,-0.997065,-0.191012,0.704385,0.307392,-0.089927,0.197239,0.234125,-0.947732,0.187955,0.726582,0.325482,-0.007789,0.189661,0.145282,0.97101,0,0,0,0,0,0,0,1,0,0,1,"Cannot do, closed her eyes"
12,-0.006741,1.115503,0.015099,0.075292,0.006231,0.003232,-0.997137,-0.191869,0.704996,0.307824,-0.089292,0.202644,0.230427,-0.947558,0.189058,0.726924,0.325818,-0.005697,0.19305,0.142201,0.970813,0,0,0,0,0,0,0,1,0,0,1,"Cannot do, closed her eyes"
13,-0.012279,1.106323,0.024084,0.028397,0.029542,0.014675,-0.999052,-0.19261,0.706193,0.307622,-0.086504,0.204682,0.230746,-0.947301,0.188458,0.72586,0.326062,-0.004511,0.190397,0.141331,0.97147,0,0,0,0,0,0,0,1,0,0,1,"Cannot do, closed her eyes"
14,-0.008961,1.100068,0.029318,-0.003657,0.021511,0.019027,-0.999581,-0.192944,0.706761,0.307721,-0.085115,0.207784,0.228478,-0.947301,0.188856,0.726167,0.32623,-0.00353,0.19018,0.139459,0.971787,0,0,0,0,0,0,0,1,0,0,1,"Cannot do, closed her eyes"
15,-0.009101,1.100673,0.029663,-0.00374,0.021211,0.015826,-0.999643,-0.193497,0.707124,0.307777,-0.084531,0.208528,0.227944,-0.947318,0.188244,0.726122,0.326115,-0.002567,0.188031,0.140865,0.972006,0,0,0,0,0,0,0,1,0,0,1,"Cannot do, closed her eyes"
16,-0.006961,1.101465,0.028737,-0.002191,0.017629,0.016513,-0.999706,-0.193728,0.706841,0.308378,-0.086894,0.211408,0.226031,-0.946924,0.188656,0.726006,0.326749,0.002476,0.189677,0.137642,0.972148,1,0,0,0,0,0,0,0,0,0,1,"Cannot do, closed her eyes"
17,-0.007554,1.101291,0.028534,-0.001127,0.018232,0.016678,-0.999694,-0.194734,0.707156,0.308482,-0.085482,0.214127,0.225306,-0.946615,0.189169,0.725319,0.327079,0.002585,0.190743,0.137766,0.971921,1,0,0,0,0,0,0,0,0,0,1,"Cannot do, closed her eyes"
18,-0.009482,1.102568,0.029732,0.005102,0.020831,0.016575,-0.999633,-0.195628,0.706532,0.309104,-0.083532,0.216091,0.224903,-0.946438,0.188941,0.725499,0.32717,0.001243,0.191042,0.138674,0.971736,1,0,0,0,0,0,0,0,0,0,1,"Cannot do, closed her eyes"
19,-0.011988,1.099885,0.030264,-0.00935,0.027123,0.012148,-0.999515,-0.19743,0.70663,0.30969,-0.081261,0.219646,0.222566,-0.94637,0.187765,0.724926,0.326766,0.005674,0.187823,0.138507,0.972371,1,0,0,0,0,0,0,0,0,0,1,"Cannot do, closed her eyes"
20,-0.012547,1.101582,0.029036,-0.00403,0.028063,0.00925,-0.999555,-0.198039,0.707589,0.309782,-0.080289,0.222331,0.221274,-0.946129,0.188183,0.726995,0.326326,0.002702,0.190402,0.135356,0.972326,1,0,0,0,0,0,0,0,0,0,1,"Cannot do, closed her eyes"
21,-0.010898,1.100344,0.028285,-0.007365,0.025489,0.010641,-0.999591,-0.197684,0.70728,0.309402,-0.084333,0.223043,0.216309,-0.946758,0.18832,0.727016,0.32614,0.009442,0.192516,0.133949,0.972063,1,0,0,0,0,0,0,0,0,0,1,"Cannot do, closed her eyes"
22,-0.011102,1.096512,0.030318,-0.025483,0.020927,0.006293,-0.999436,-0.197038,0.708771,0.308419,-0.084122,0.222016,0.216818,-0.946901,0.188101,0.726108,0.326215,0.009611,0.191601,0.13487,0.972115,1,0,0,0,0,0,0,0,0,0,1,"Cannot do, closed her eyes"
23,-0.007885,1.088748,0.036603,-0.064001,0.01344,0.013307,-0.997771,-0.197308,0.708815,0.309093,-0.08434,0.22282,0.216627,-0.946737,0.188378,0.725141,0.327694,0.009436,0.190101,0.134895,0.972407,1,0,0,0,0,0,0,0,0,0,1,"Cannot do, closed her eyes"
24,0.013791,1.11051,-0.000481,0.031388,-0.139379,0.005345,-0.989727,-0.201141,0.709815,0.309638,-0.087787,0.231481,0.206486,-0.946612,0.193458,0.723755,0.328649,0.018318,0.206747,0.123174,0.970437,1,0,0,0,0,0,0,0,0,0,1,"Cannot do, closed her eyes"
25,-0.032273,1.104395,0.013149,0.007204,0.005765,-0.066927,-0.997715,-0.206118,0.713683,0.310497,-0.070844,0.239553,0.204558,-0.946441,0.17785,0.716374,0.328427,0.031743,0.180203,0.131376,0.974299,0,0,0,0,0,0,0,0,1,0,1,"Cannot do, closed her eyes"
26,-0.037039,1.101703,0.008209,-0.006839,0.054263,-0.054974,-0.996989,-0.204571,0.712665,0.309018,-0.056988,0.240618,0.223329,-0.942857,0.176839,0.717845,0.325428,0.027225,0.174075,0.130651,0.975647,0,0,0,0,0,0,0,0,1,0,1,"Cannot do, closed her eyes"
