time,h_pos_x,h_pos_y,h_pos_z,h_rot_x,h_rot_y,h_rot_z,h_rot_w,l_pos_x,l_pos_y,l_pos_z,l_rot_x,l_rot_y,l_rot_z,l_rot_w,r_pos_x,r_pos_y,r_pos_z,r_rot_x,r_rot_y,r_rot_z,r_rot_w,pose_idle,pose_looking_up,pose_looking_down,pose_looking_left,pose_looking_right,pose_head_tilt_left,pose_head_tilt_right,pose_nodding,pose_shaking_no,pose_tilting_side,Cybersickness,Comments
4,-0.010271,1.23157,0.002201,-0.17755,0.024004,-0.012035,0.983746,0,0,0,0,0,0,0,0.097005,0.87524,0.418182,-0.10099,0.04295,0.213232,0.970818,1,0,0,0,0,0,0,0,0,0,0,Start
5,-0.015142,1.228616,0.003968,-0.167446,0.009228,-0.001596,0.985837,0,0,0,0,0,0,0,0.096766,0.87491,0.418505,-0.099314,0.041533,0.215008,0.970661,1,0,0,0,0,0,0,0,0,0,0,Start
6,-0.016652,1.223903,0.004248,-0.135076,0.002163,0.005215,0.990819,0,0,0,0,0,0,0,0.098844,0.876135,0.418848,-0.09613,0.049603,0.20642,0.972466,1,0,0,0,0,0,0,0,0,0,0,Start
7,-0.013291,1.219588,0.010627,-0.112704,0.016109,0.000987,0.993498,0,0,0,0,0,0,0,0.075461,0.959873,0.343947,-0.118719,0.07996,0.102266,0.984405,1,0,0,0,0,0,0,0,0,0,0,Start
8,-0.018374,1.210136,0.020063,-0.068998,-0.001821,0.004892,0.997603,0,0,0,0,0,0,0,0.053865,0.939246,0.325876,-0.079325,0.021441,0.079853,0.993414,0,0,0,0,0,0,0,1,0,0,0,Start
9,-0.004235,1.220993,-0.010409,-0.121062,-0.015988,0.006122,0.992497,0,0,0,0,0,0,0,0.060944,0.9545,0.300025,-0.14689,0.016031,0.109317,0.982963,0,0,0,0,0,0,0,1,0,0,0,Start
10,0.002837,1.228067,-0.019827,-0.161628,-0.002642,-0.009272,0.986805,0,0,0,0,0,0,0,0.068846,0.954186,0.303199,-0.144212,0.031678,0.094516,0.984513,0,0,0,0,0,0,0,1,0,0,0,Start
11,0.0127,1.222377,-0.011279,-0.134852,0.075008,0.031629,0.987516,0,0,0,0,0,0,0,0.086666,0.881136,0.398472,-0.055392,0.009496,0.07534,0.995573,0,0,0,0,0,0,0,1,0,0,0,
12,0.007059,1.226262,-0.017491,-0.155708,0.084969,0.04303,0.983201,0,0,0,0,0,0,0,0.076952,0.879111,0.393655,-0.07155,0.014293,0.135317,0.988112,0,0,0,0,0,0,0,1,0,0,0,
13,-0.017252,1.21887,-0.007505,-0.117628,0.007516,0.060027,0.991213,0,0,0,0,0,0,0,0.075692,0.878145,0.393499,-0.073838,0.017623,0.143832,0.986686,1,0,0,0,0,0,0,0,0,0,0,
14,-0.007966,1.21332,-0.000429,-0.083644,0.026311,0.040438,0.995327,0,0,0,0,0,0,0,0.076642,0.877073,0.394902,-0.07563,0.02004,0.144671,0.986382,0,0,0,0,0,0,0,1,0,0,0,
15,-0.013967,1.218688,-0.005816,-0.111086,0.015422,0.050991,0.992382,0,0,0,0,0,0,0,0.075714,0.876415,0.394566,-0.076444,0.019526,0.150204,0.985502,0,0,0,0,0,0,0,1,0,0,0,
16,-0.006973,1.211738,0.002071,-0.082867,0.048368,0.058115,0.993688,0,0,0,0,0,0,0,0.075302,0.876604,0.394528,-0.076152,0.021134,0.152093,0.985202,0,0,0,0,0,0,0,1,0,0,0,
