time,h_pos_x,h_pos_y,h_pos_z,h_rot_x,h_rot_y,h_rot_z,h_rot_w,l_pos_x,l_pos_y,l_pos_z,l_rot_x,l_rot_y,l_rot_z,l_rot_w,r_pos_x,r_pos_y,r_pos_z,r_rot_x,r_rot_y,r_rot_z,r_rot_w,pose_idle,pose_looking_up,pose_looking_down,pose_looking_left,pose_looking_right,pose_head_tilt_left,pose_head_tilt_right,pose_nodding,pose_shaking_no,pose_tilting_side,Cybersickness,Comments
4,-0.024974,1.057861,-0.027393,-0.139584,-0.089982,-0.000144,0.986113,-0.103302,0.878097,0.200815,-0.202488,-0.271867,-0.004609,0.940779,0.041054,0.87184,0.231728,-0.181428,-0.02624,-0.109836,0.976899,1,0,0,0,0,0,0,0,0,0,0,Opening application
5,-0.02199,1.057851,-0.029264,-0.140838,-0.084644,-0.004943,0.986395,-0.107774,0.878797,0.194951,-0.208208,-0.272638,0.011632,0.939246,0.046303,0.871892,0.228631,-0.196498,-0.013296,-0.098225,0.975481,1,0,0,0,0,0,0,0,0,0,0,Opening application
6,-0.015038,1.039797,-0.006869,-0.025049,-0.043153,-0.000185,0.998754,-0.107236,0.877493,0.196187,-0.204792,-0.272796,0.011182,0.939956,0.048212,0.866881,0.234553,-0.185515,-0.009703,-0.094519,0.978037,1,0,0,0,0,0,0,0,0,0,0,Opening application
7,-0.014176,1.046526,-0.013277,-0.062705,-0.045833,-0.007016,0.996954,-0.108634,0.879793,0.195847,-0.208706,-0.273478,0.013062,0.938872,0.048704,0.867962,0.234788,-0.187115,-0.00913,-0.095535,0.977639,1,0,0,0,0,0,0,0,0,0,0,Opening application
8,-0.005396,1.079541,0.012934,-0.09053,-0.033745,-0.021659,0.995086,-0.107571,0.885246,0.229973,-0.184504,-0.276249,-0.007948,0.943177,0.059115,0.867387,0.263995,-0.160298,0.007861,-0.098213,0.982139,1,0,0,0,0,0,0,0,0,0,0,Opening application
9,-0.020312,1.119805,0.135418,-0.08276,-0.054466,-0.008854,0.995041,-0.122517,0.906311,0.320874,-0.169963,-0.28846,0.021784,0.942035,0.043537,0.886839,0.352557,-0.14857,0.006863,-0.086366,0.985099,1,0,0,0,0,0,0,0,0,0,0,Opening application
10,-0.03086,1.12327,0.108451,-0.108086,-0.167928,-0.010132,0.979804,-0.107179,0.910828,0.313238,-0.155553,-0.267511,0.000719,0.950916,0.045783,0.892172,0.339173,-0.141078,-0.00418,-0.119739,0.982722,0,0,0,0,0,0,0,1,0,0,0,Opening application
11,-0.00396,1.119318,0.113191,-0.089795,-0.048139,-0.04498,0.993779,-0.102954,0.912284,0.31183,-0.15838,-0.257597,-0.002737,0.95318,0.047583,0.892296,0.337618,-0.143953,0.001887,-0.119319,0.982363,1,0,0,0,0,0,0,0,0,0,0,Started
12,-0.010613,1.118376,0.114164,-0.084578,-0.056628,-0.025226,0.994487,-0.106517,0.910997,0.309399,-0.159017,-0.270248,0.013619,0.949471,0.046479,0.891491,0.336207,-0.142491,0.000379,-0.120396,0.982446,1,0,0,0,0,0,0,0,0,0,0,Started
13,-0.018794,1.12001,0.110569,-0.092909,-0.073346,-0.009804,0.992921,-0.110389,0.910668,0.308554,-0.146449,-0.288952,0.002644,0.946072,0.044752,0.892243,0.334877,-0.145419,0.000749,-0.110049,0.98323,0,0,0,0,0,0,0,1,0,0,0,Started
14,-0.024191,1.121549,0.107127,-0.095686,-0.117213,-0.008806,0.988447,-0.106972,0.915009,0.307561,-0.13665,-0.282928,-0.002816,0.949353,0.040444,0.893036,0.329392,-0.144141,-0.009527,-0.115401,0.982759,0,0,0,0,0,0,0,1,0,0,0,Started
15,-0.021241,1.124375,0.104913,-0.116941,-0.093783,-0.014928,0.988588,-0.112685,0.916341,0.301564,-0.149387,-0.290482,0.00688,0.945123,0.036771,0.894138,0.329848,-0.147524,-0.013881,-0.11175,0.982627,1,0,0,0,0,0,0,0,0,0,0,Started
16,-0.022273,1.123068,0.108166,-0.112126,-0.092454,-0.011369,0.989318,-0.110741,0.91107,0.303563,-0.141299,-0.284713,0.008723,0.948102,0.035414,0.891174,0.330507,-0.14169,-0.015486,-0.110484,0.983604,1,0,0,0,0,0,0,0,0,0,0,Started
17,-0.021297,1.121548,0.110801,-0.104519,-0.095452,-0.016325,0.989797,-0.111101,0.909912,0.304192,-0.141637,-0.286785,0.007753,0.947435,0.036813,0.889845,0.332284,-0.140487,-0.013173,-0.113057,0.983518,1,0,0,0,0,0,0,0,0,0,1,OMG
18,-0.020772,1.118499,0.133875,-0.088186,-0.092713,-0.017522,0.991625,-0.108479,0.899811,0.31997,-0.1215,-0.28314,-0.000326,0.951352,0.035942,0.878456,0.34709,-0.111929,-0.017132,-0.124085,0.98579,1,0,0,0,0,0,0,0,0,0,1,Spooked
19,-0.017005,1.123472,0.124094,-0.11574,-0.081161,-0.021485,0.989725,-0.110657,0.901956,0.31364,-0.127529,-0.287854,0.003179,0.94914,0.038268,0.881138,0.341245,-0.11995,-0.015524,-0.120462,0.985322,1,0,0,0,0,0,0,0,0,0,1,Spooked
20,-0.016929,1.123036,0.124427,-0.111815,-0.082066,-0.022459,0.99008,-0.109957,0.90465,0.312454,-0.131257,-0.286592,0.003162,0.949014,0.037961,0.882273,0.341242,-0.120145,-0.015092,-0.121817,0.985139,1,0,0,0,0,0,0,0,0,0,1,Spooked
21,-0.012117,1.118304,0.130062,-0.086853,-0.050035,-0.02126,0.994737,-0.108771,0.894892,0.326665,-0.048179,-0.231202,0.031788,0.971192,0.035875,0.881429,0.342486,-0.117209,-0.019761,-0.118826,0.985775,1,0,0,0,0,0,0,0,0,0,1,Spooked
22,-0.014718,1.117623,0.131168,-0.081616,-0.059861,-0.019931,0.994665,-0.117775,0.895909,0.327008,-0.063627,-0.229891,0.087183,0.967213,0.036797,0.880541,0.342204,-0.116594,-0.016191,-0.12043,0.985718,1,0,0,0,0,0,0,0,0,0,1,Spooked
23,-0.013752,1.117856,0.133803,-0.082993,-0.065605,-0.021564,0.994155,-0.114398,0.896596,0.32858,-0.030759,-0.20868,0.078285,0.97436,0.036728,0.879884,0.344648,-0.117072,-0.017471,-0.119676,0.985732,1,0,0,0,0,0,0,0,0,0,1,Spooked
24,-0.012965,1.117222,0.135933,-0.080652,-0.065332,-0.022626,0.994341,-0.115589,0.897397,0.327432,-0.044947,-0.223526,0.070167,0.971129,0.036994,0.878938,0.345176,-0.114724,-0.017614,-0.120826,0.985865,1,0,0,0,0,0,0,0,0,0,1,Spooked
25,-0.011642,1.117081,0.13445,-0.078012,-0.061012,-0.021205,0.994858,-0.114719,0.897886,0.325492,-0.051187,-0.235671,0.056517,0.968837,0.038994,0.878821,0.343868,-0.119291,-0.012426,-0.10746,0.986949,1,0,0,0,0,0,0,0,0,0,1,Spooked
26,-0.010237,1.116146,0.137556,-0.07265,-0.061996,-0.023478,0.995152,-0.111757,0.898285,0.328038,-0.060491,-0.241356,0.031762,0.968029,0.042103,0.878083,0.347368,-0.120711,-0.007083,-0.098027,0.98781,1,0,0,0,0,0,0,0,0,0,0,Nothing
27,-0.011126,1.116286,0.13824,-0.072475,-0.065359,-0.022805,0.994965,-0.112628,0.898594,0.327408,-0.059842,-0.237631,0.042733,0.968568,0.039411,0.877357,0.347689,-0.112502,-0.014475,-0.105528,0.987926,1,0,0,0,0,0,0,0,0,0,0,Nothing
28,-0.013968,1.11802,0.137774,-0.078898,-0.065391,-0.014752,0.994626,-0.121273,0.898648,0.325879,-0.060758,-0.252688,0.048009,0.964444,0.044181,0.878569,0.347359,-0.115822,-0.002937,-0.095912,0.988624,1,0,0,0,0,0,0,0,0,0,0,Nothing
29,-0.014559,1.117709,0.137398,-0.084767,-0.064632,-0.007534,0.994274,-0.116997,0.89874,0.326055,-0.06257,-0.245328,0.046957,0.966278,0.040709,0.878074,0.347168,-0.115925,-0.010482,-0.095646,0.988587,1,0,0,0,0,0,0,0,0,0,0,Nothing
30,-0.011687,1.116983,0.140743,-0.078765,-0.062552,-0.014437,0.994824,-0.113165,0.899807,0.327459,-0.055356,-0.233988,0.04934,0.969407,0.037086,0.877421,0.348224,-0.117201,-0.017899,-0.09283,0.988598,1,0,0,0,0,0,0,0,0,0,0,Nothing
