time,h_pos_x,h_pos_y,h_pos_z,h_rot_x,h_rot_y,h_rot_z,h_rot_w,l_pos_x,l_pos_y,l_pos_z,l_rot_x,l_rot_y,l_rot_z,l_rot_w,r_pos_x,r_pos_y,r_pos_z,r_rot_x,r_rot_y,r_rot_z,r_rot_w,pose_idle,pose_looking_up,pose_looking_down,pose_looking_left,pose_looking_right,pose_head_tilt_left,pose_head_tilt_right,pose_nodding,pose_shaking_no,pose_tilting_side,cybersickness
4,0.042764,1.166835,-0.00267,0.052675,0.131012,0.01561,0.989857,-0.009441,0.758922,0.291543,-0.02613,-0.059223,-0.007911,-0.997871,0.219147,0.77492,0.239981,0.002949,0.20384,0.000502,0.979,1,0,0,0,0,0,0,0,0,0,0
5,0.015287,1.171333,-0.003617,0.034718,0.034792,0.022295,0.998542,-0.008477,0.760937,0.289744,-0.029153,-0.057175,-0.00013,-0.997938,0.216251,0.773466,0.239063,0.001558,0.193904,0.005247,0.981005,1,0,0,0,0,0,0,0,0,0,0
6,-0.011608,1.179176,-0.011465,0.00377,-0.030584,0.040865,0.998689,-0.007555,0.758168,0.289821,-0.025506,-0.058004,0.016096,-0.997861,0.215625,0.773766,0.236506,-0.020631,0.179714,0.009012,0.983461,1,0,0,0,0,0,0,0,0,0,0
7,0.006062,1.173922,-0.009875,0.027737,0.023165,0.024219,0.999053,-0.007225,0.757073,0.29003,-0.027548,-0.059379,0.017269,-0.997706,0.213787,0.772124,0.241352,0.006386,0.198179,0.000177,0.980145,1,0,0,0,0,0,0,0,0,0,0
8,-0.003094,1.165166,0.003961,0.059822,-0.00559,0.026424,0.997844,-0.027897,0.756273,0.298187,-0.029818,-0.037839,0.017474,-0.998686,0.193781,0.769777,0.259729,0.013191,0.178479,0.05414,0.982365,1,0,0,0,0,0,0,0,0,0,0
9,-0.009253,1.171735,0.002608,0.033264,-0.017034,0.044638,0.998304,-0.026343,0.754549,0.29829,-0.034439,-0.042511,0.020698,-0.998288,0.191631,0.769034,0.259125,0.010226,0.179876,0.065764,0.981435,0,0,0,0,0,0,0,1,0,0,0
10,0.008545,1.175217,0.000669,0.022937,0.0233,0.025588,0.999138,-0.028354,0.754957,0.300095,-0.036298,-0.034018,0.020813,-0.998545,0.191874,0.768174,0.260345,0.015628,0.180903,0.066169,0.981148,0,0,0,0,0,0,0,1,0,0,0
11,0.006086,1.174182,-0.000351,0.026094,0.027508,0.042071,0.998395,-0.028382,0.754763,0.299852,-0.034145,-0.035978,0.020027,-0.998568,0.190899,0.766826,0.259691,0.014496,0.180125,0.069238,0.981097,1,0,0,0,0,0,0,0,0,0,0
12,-0.000365,1.17644,-0.001617,0.020108,0.015622,0.052723,0.998285,-0.027656,0.754404,0.299456,-0.036027,-0.039771,0.020918,-0.99834,0.189845,0.766015,0.25978,0.013765,0.178952,0.071374,0.981169,1,0,0,0,0,0,0,0,0,0,0
13,-0.001789,1.178203,-0.003293,0.013046,0.014457,0.056978,0.998186,-0.027559,0.754422,0.299631,-0.041988,-0.045625,0.019769,-0.99788,0.189077,0.765365,0.259903,0.016609,0.177644,0.075949,0.981019,0,0,0,0,0,0,0,0,0,1,0
