bpm,hr,hr_diff,hr_sq,rr,rr_diff,Cybersickness,time_imu
86.0,86.0,0.0,7396.0,0.6976744186046512,0.0,0,4
86.0,86.0,0.0,7396.0,0.6976744186046512,0.0,0,5
86.0,86.0,0.0,7396.0,0.6976744186046512,0.0,0,6
89.0,89.0,3.0,7921.0,0.6741573033707865,-0.023517115233864683,0,7
89.0,89.0,3.0,7921.0,0.6741573033707865,-0.023517115233864683,0,8
89.0,89.0,3.0,7921.0,0.6741573033707865,-0.023517115233864683,0,9
89.0,89.0,3.0,7921.0,0.6741573033707865,-0.023517115233864683,0,10
89.0,89.0,3.0,7921.0,0.6741573033707865,-0.023517115233864683,0,11
89.0,89.0,0.0,7921.0,0.6741573033707865,0.0,0,12
89.0,89.0,0.0,7921.0,0.6741573033707865,0.0,0,13
89.0,89.0,0.0,7921.0,0.6741573033707865,0.0,0,14
89.0,89.0,0.0,7921.0,0.6741573033707865,0.0,0,15
89.0,89.0,0.0,7921.0,0.6741573033707865,0.0,0,16
87.0,87.0,-2.0,7569.0,0.6896551724137931,0.015497869043006651,0,17
87.0,87.0,-2.0,7569.0,0.6896551724137931,0.015497869043006651,0,18
87.0,87.0,-2.0,7569.0,0.6896551724137931,0.015497869043006651,0,19
87.0,87.0,-2.0,7569.0,0.6896551724137931,0.015497869043006651,0,20
87.0,87.0,-2.0,7569.0,0.6896551724137931,0.015497869043006651,0,21
83.0,83.0,-4.0,6889.0,0.7228915662650602,0.03323639385126709,0,22
83.0,83.0,-4.0,6889.0,0.7228915662650602,0.03323639385126709,0,23
83.0,83.0,-4.0,6889.0,0.7228915662650602,0.03323639385126709,0,24
83.0,83.0,-4.0,6889.0,0.7228915662650602,0.03323639385126709,0,25
83.0,83.0,-4.0,6889.0,0.7228915662650602,0.03323639385126709,0,26
84.0,84.0,1.0,7056.0,0.7142857142857143,-0.008605851979345935,0,27
84.0,84.0,1.0,7056.0,0.7142857142857143,-0.008605851979345935,0,28
84.0,84.0,1.0,7056.0,0.7142857142857143,-0.008605851979345935,0,29
84.0,84.0,1.0,7056.0,0.7142857142857143,-0.008605851979345935,0,30
84.0,84.0,1.0,7056.0,0.7142857142857143,-0.008605851979345935,0,31
84.0,84.0,0.0,7056.0,0.7142857142857143,0.0,0,32
84.0,84.0,0.0,7056.0,0.7142857142857143,0.0,0,33
84.0,84.0,0.0,7056.0,0.7142857142857143,0.0,0,34
84.0,84.0,0.0,7056.0,0.7142857142857143,0.0,0,35
84.0,84.0,0.0,7056.0,0.7142857142857143,0.0,0,36
84.0,84.0,0.0,7056.0,0.7142857142857143,0.0,0,37
84.0,84.0,0.0,7056.0,0.7142857142857143,0.0,0,38
84.0,84.0,0.0,7056.0,0.7142857142857143,0.0,0,39
84.0,84.0,0.0,7056.0,0.7142857142857143,0.0,0,40
84.0,84.0,0.0,7056.0,0.7142857142857143,0.0,0,41
84.0,84.0,0.0,7056.0,0.7142857142857143,0.0,0,42
96.0,96.0,12.0,9216.0,0.625,-0.0892857142857143,0,43
96.0,96.0,12.0,9216.0,0.625,-0.0892857142857143,0,44
96.0,96.0,12.0,9216.0,0.625,-0.0892857142857143,0,45
96.0,96.0,12.0,9216.0,0.625,-0.0892857142857143,0,46
96.0,96.0,12.0,9216.0,0.625,-0.0892857142857143,0,47
90.0,90.0,-6.0,8100.0,0.6666666666666666,0.04166666666666663,0,48
90.0,90.0,-6.0,8100.0,0.6666666666666666,0.04166666666666663,0,49
90.0,90.0,-6.0,8100.0,0.6666666666666666,0.04166666666666663,0,50
90.0,90.0,-6.0,8100.0,0.6666666666666666,0.04166666666666663,0,51
90.0,90.0,-6.0,8100.0,0.6666666666666666,0.04166666666666663,0,52
91.0,91.0,1.0,8281.0,0.6593406593406593,-0.0073260073260073,0,53
91.0,91.0,1.0,8281.0,0.6593406593406593,-0.0073260073260073,0,54
91.0,91.0,1.0,8281.0,0.6593406593406593,-0.0073260073260073,0,55
91.0,91.0,1.0,8281.0,0.6593406593406593,-0.0073260073260073,0,56
91.0,91.0,1.0,8281.0,0.6593406593406593,-0.0073260073260073,0,57
85.0,85.0,-6.0,7225.0,0.7058823529411765,0.04654169360051719,0,58
85.0,85.0,-6.0,7225.0,0.7058823529411765,0.04654169360051719,0,59
85.0,85.0,-6.0,7225.0,0.7058823529411765,0.04654169360051719,0,60
85.0,85.0,-6.0,7225.0,0.7058823529411765,0.04654169360051719,0,61
85.0,85.0,-6.0,7225.0,0.7058823529411765,0.04654169360051719,0,62
85.0,85.0,0.0,7225.0,0.7058823529411765,0.0,0,63
85.0,85.0,0.0,7225.0,0.7058823529411765,0.0,0,64
85.0,85.0,0.0,7225.0,0.7058823529411765,0.0,0,65
85.0,85.0,0.0,7225.0,0.7058823529411765,0.0,0,66
85.0,85.0,0.0,7225.0,0.7058823529411765,0.0,0,67
83.0,83.0,-2.0,6889.0,0.7228915662650602,0.01700921332388372,0,68
83.0,83.0,-2.0,6889.0,0.7228915662650602,0.01700921332388372,0,69
83.0,83.0,-2.0,6889.0,0.7228915662650602,0.01700921332388372,0,70
83.0,83.0,-2.0,6889.0,0.7228915662650602,0.01700921332388372,0,71
83.0,83.0,-2.0,6889.0,0.7228915662650602,0.01700921332388372,0,72
84.0,84.0,1.0,7056.0,0.7142857142857143,-0.008605851979345935,0,73
84.0,84.0,1.0,7056.0,0.7142857142857143,-0.008605851979345935,0,74
84.0,84.0,1.0,7056.0,0.7142857142857143,-0.008605851979345935,0,75
84.0,84.0,1.0,7056.0,0.7142857142857143,-0.008605851979345935,0,76
84.0,84.0,1.0,7056.0,0.7142857142857143,-0.008605851979345935,0,77
84.0,84.0,0.0,7056.0,0.7142857142857143,0.0,0,78
84.0,84.0,0.0,7056.0,0.7142857142857143,0.0,0,79
84.0,84.0,0.0,7056.0,0.7142857142857143,0.0,0,80
84.0,84.0,0.0,7056.0,0.7142857142857143,0.0,0,81
84.0,84.0,0.0,7056.0,0.7142857142857143,0.0,0,82
83.0,83.0,-1.0,6889.0,0.7228915662650602,0.008605851979345935,0,83
83.0,83.0,-1.0,6889.0,0.7228915662650602,0.008605851979345935,0,84
83.0,83.0,-1.0,6889.0,0.7228915662650602,0.008605851979345935,0,85
83.0,83.0,-1.0,6889.0,0.7228915662650602,0.008605851979345935,0,86
83.0,83.0,-1.0,6889.0,0.7228915662650602,0.008605851979345935,0,87
84.0,84.0,1.0,7056.0,0.7142857142857143,-0.008605851979345935,0,88
84.0,84.0,1.0,7056.0,0.7142857142857143,-0.008605851979345935,0,89
84.0,84.0,1.0,7056.0,0.7142857142857143,-0.008605851979345935,0,90
84.0,84.0,1.0,7056.0,0.7142857142857143,-0.008605851979345935,0,91
84.0,84.0,1.0,7056.0,0.7142857142857143,-0.008605851979345935,0,92
84.0,84.0,0.0,7056.0,0.7142857142857143,0.0,0,93
84.0,84.0,0.0,7056.0,0.7142857142857143,0.0,0,94
