time,h_pos_x,h_pos_y,h_pos_z,h_rot_x,h_rot_y,h_rot_z,h_rot_w,l_pos_x,l_pos_y,l_pos_z,l_rot_x,l_rot_y,l_rot_z,l_rot_w,r_pos_x,r_pos_y,r_pos_z,r_rot_x,r_rot_y,r_rot_z,r_rot_w,pose_idle,pose_looking_up,pose_looking_down,pose_looking_left,pose_looking_right,pose_head_tilt_left,pose_head_tilt_right,pose_nodding,pose_shaking_no,pose_tilting_side,cybersickness
4,0.011938,1.209164,-0.021251,0.058122,-0.054146,-0.027032,0.996474,-0.187075,0.726309,0.228715,-0.162164,0.155208,-0.105578,-0.968745,0.08098,0.781081,0.264333,-0.01723,0.052642,0.170836,0.983741,1,0,0,0,0,0,0,0,0,0,0
5,0.011628,1.212036,-0.022857,0.046221,-0.056541,-0.024397,0.997031,-0.186489,0.727466,0.227921,-0.162607,0.156071,-0.111079,-0.967916,0.094714,0.783188,0.272811,0.030659,0.053679,0.058731,0.996358,1,0,0,0,0,0,0,0,0,0,0
6,0.010197,1.209832,-0.021329,0.054111,-0.059386,-0.022955,0.996503,-0.185478,0.727996,0.227625,-0.167868,0.161959,-0.104938,-0.966736,0.08991,0.780346,0.271623,0.024144,0.05254,0.087355,0.994498,1,0,0,0,0,0,0,0,0,0,0
7,0.003455,1.208669,-0.018308,0.059767,-0.092117,-0.032243,0.99343,-0.186079,0.727148,0.227975,-0.172937,0.161788,-0.106896,-0.965656,0.090196,0.78005,0.27146,0.023286,0.053513,0.087931,0.994416,1,0,0,0,0,0,0,0,0,0,0
8,0.009037,1.207303,-0.014793,0.064222,-0.074663,-0.03574,0.994497,-0.184793,0.724157,0.228578,-0.180886,0.161994,-0.102379,-0.964654,0.090171,0.780276,0.271167,0.022249,0.05531,0.090231,0.994135,1,0,0,0,0,0,0,0,0,0,0
9,0.007708,1.207727,-0.015544,0.063581,-0.073725,-0.032581,0.994716,-0.187284,0.723356,0.22889,-0.182631,0.168306,-0.107286,-0.962709,0.089958,0.780046,0.271773,0.024016,0.054153,0.089251,0.994246,0,0,0,0,0,0,0,0,1,0,0
10,0.010563,1.207929,-0.016617,0.060577,-0.06841,-0.036619,0.995143,-0.187327,0.723234,0.228978,-0.181488,0.168766,-0.107731,-0.962795,0.090535,0.779966,0.271508,0.023088,0.055207,0.087389,0.994375,1,0,0,0,0,0,0,0,0,0,0
11,0.014507,1.206852,-0.016026,0.064443,-0.057537,-0.03931,0.995485,-0.186616,0.722842,0.228626,-0.182372,0.168786,-0.106597,-0.962751,0.091138,0.779883,0.271144,0.023539,0.054925,0.083311,0.99473,1,0,0,0,0,0,0,0,0,0,0
12,0.013561,1.208695,-0.015457,0.058081,-0.055384,-0.03214,0.996256,-0.186503,0.722635,0.229028,-0.184289,0.168635,-0.105964,-0.962482,0.090837,0.779951,0.271829,0.024315,0.05448,0.082364,0.994815,1,0,0,0,0,0,0,0,0,0,0
13,0.013334,1.208796,-0.016155,0.057443,-0.057083,-0.032113,0.996198,-0.186598,0.723165,0.228807,-0.183077,0.168563,-0.106449,-0.962672,0.091176,0.779726,0.271514,0.0237,0.055414,0.081411,0.994857,1,0,0,0,0,0,0,0,0,0,0
14,0.013288,1.207997,-0.016161,0.06023,-0.055924,-0.032883,0.996074,-0.186707,0.72324,0.228647,-0.183089,0.168775,-0.106313,-0.962648,0.090957,0.780265,0.270972,0.023766,0.055343,0.081228,0.994874,1,0,0,0,0,0,0,0,0,0,0
15,0.011905,1.208541,-0.016134,0.059178,-0.057744,-0.031149,0.996089,-0.186975,0.723352,0.229046,-0.183852,0.169436,-0.107074,-0.962302,0.090805,0.780495,0.271469,0.024523,0.054525,0.081694,0.994863,1,0,0,0,0,0,0,0,0,0,0
16,0.012529,1.20858,-0.016845,0.058185,-0.057783,-0.031909,0.996121,-0.187,0.723264,0.229049,-0.18309,0.169797,-0.106812,-0.962413,0.091361,0.780379,0.271057,0.023726,0.055783,0.079878,0.99496,1,0,0,0,0,0,0,0,0,0,0
