time,h_pos_x,h_pos_y,h_pos_z,h_rot_x,h_rot_y,h_rot_z,h_rot_w,l_pos_x,l_pos_y,l_pos_z,l_rot_x,l_rot_y,l_rot_z,l_rot_w,r_pos_x,r_pos_y,r_pos_z,r_rot_x,r_rot_y,r_rot_z,r_rot_w,pose_idle,pose_looking_up,pose_looking_down,pose_looking_left,pose_looking_right,pose_head_tilt_left,pose_head_tilt_right,pose_nodding,pose_shaking_no,pose_tilting_side,cybersickness
4,0.049781,1.221017,0.035599,0.131517,0.009781,-0.035883,0.990616,-0.09441,0.879701,0.315851,0.031857,-0.032825,-0.063995,-0.996901,0.143991,0.849443,0.277639,-0.071422,0.007667,-0.054007,0.995953,1,0,0,0,0,0,0,0,0,0,0
5,0.029124,1.2425,0.032764,0.051411,-0.015537,0.006947,0.998533,-0.058382,0.88198,0.292266,0.173043,-0.061591,0.176688,-0.966977,0.140073,0.85188,0.277276,-0.082652,0.023058,-0.051062,0.995002,1,0,0,0,0,0,0,0,0,0,0
6,0.01634,1.255976,0.021204,0.00263,-0.039989,0.004715,0.999186,-0.055674,0.881922,0.290822,0.17345,-0.067387,0.174974,-0.966829,0.126603,0.854761,0.278711,-0.068135,0.01588,-0.044136,0.996573,1,0,0,0,0,0,0,0,0,0,0
7,0.029915,1.251452,0.022601,0.019634,-0.018652,-0.018388,0.999464,-0.054141,0.880824,0.289601,0.175438,-0.072702,0.17979,-0.9652,0.125678,0.854166,0.27702,-0.075203,0.00566,-0.038013,0.996427,1,0,0,0,0,0,0,0,0,0,0
8,0.037004,1.245668,0.025721,0.041124,-0.00396,-0.025883,0.998811,-0.054214,0.880608,0.290118,0.174023,-0.072329,0.179372,-0.965562,0.124579,0.854364,0.279126,-0.063239,0.032132,-0.041407,0.996621,0,0,0,0,0,0,0,0,1,0,0
9,-0.002068,1.246776,-0.000937,0.041689,-0.003734,-0.021892,0.998884,-0.085229,0.88075,0.266308,0.176204,-0.082227,0.179154,-0.964414,0.093245,0.853904,0.251805,-0.068113,0.036385,-0.034347,0.996422,1,0,0,0,0,0,0,0,0,0,0
10,0.00318,1.245446,-0.000357,0.04215,0.005761,-0.026723,0.998737,-0.084042,0.880379,0.266058,0.176772,-0.083223,0.180629,-0.96395,0.097116,0.855753,0.249722,-0.089263,0.052012,-0.010436,0.994595,0,0,0,0,0,0,0,1,0,0,0
11,0.005348,1.246385,-0.000866,0.040414,0.024528,-0.011188,0.998819,-0.084138,0.879667,0.266074,0.176844,-0.082328,0.180641,-0.964011,0.098273,0.8541,0.250458,-0.087339,0.051691,-0.010474,0.994782,0,0,0,0,0,0,0,1,0,0,0
12,0.003564,1.247459,-0.00096,0.037433,0.020764,-0.00928,0.99904,-0.084357,0.880085,0.266095,0.178587,-0.082761,0.180966,-0.963591,0.097377,0.85328,0.250108,-0.088518,0.047474,-0.008666,0.994905,0,0,0,0,0,0,0,1,0,0,0
13,-0.004983,1.242333,0.002545,0.052022,0.007249,0.007106,0.998594,-0.084215,0.880105,0.265544,0.17908,-0.083121,0.181322,-0.963402,0.09643,0.852631,0.249133,-0.088566,0.039647,-0.007779,0.995251,0,0,0,0,0,0,0,1,0,0,0
14,-0.000692,1.23969,0.003457,0.063601,0.009597,-0.002364,0.997927,-0.083335,0.878696,0.265827,0.176454,-0.084162,0.18258,-0.963559,0.096664,0.851633,0.250117,-0.086063,0.042347,-0.00695,0.995365,0,0,0,0,0,0,0,1,0,0,0
15,-0.002182,1.243269,0.001831,0.053091,0.006453,-0.004837,0.998557,-0.084886,0.880307,0.266469,0.179016,-0.082486,0.181029,-0.963524,0.095858,0.852011,0.249853,-0.08777,0.040961,-0.004335,0.995289,0,0,0,0,0,0,0,1,0,0,0
16,0.000859,1.241757,0.002105,0.055663,0.009597,-0.008577,0.998367,-0.083792,0.880162,0.265718,0.179642,-0.08377,0.182334,-0.96305,0.095797,0.851742,0.249479,-0.090053,0.041385,0.000525,0.995077,0,0,0,0,0,0,0,1,0,0,0
17,0.000592,1.241197,0.002857,0.057704,0.010408,-0.008903,0.99824,-0.083376,0.88025,0.264938,0.180385,-0.085585,0.184396,-0.962359,0.095424,0.851268,0.248798,-0.093514,0.037063,0.001704,0.994926,0,0,0,0,0,0,0,1,0,0,0
18,-0.000573,1.241324,0.002296,0.058214,0.007839,-0.006707,0.998251,-0.082604,0.879581,0.265018,0.179393,-0.086922,0.18637,-0.962044,0.094785,0.850183,0.24939,-0.09074,0.034927,0.0034,0.995256,0,0,0,0,0,0,0,1,0,0,0
19,0.00015,1.241012,0.002713,0.059439,0.008935,-0.008425,0.998156,-0.08233,0.879674,0.264662,0.180288,-0.088835,0.187911,-0.961402,0.094057,0.850018,0.248952,-0.091283,0.032244,0.006058,0.995284,0,0,0,0,0,0,0,1,0,0,0
20,0.001476,1.242692,0.000299,0.057183,0.009647,-0.012343,0.998241,-0.082094,0.879662,0.264058,0.180543,-0.090499,0.189018,-0.960982,0.093487,0.849456,0.248764,-0.092884,0.031184,0.00874,0.99515,1,0,0,0,0,0,0,0,0,0,0
21,0.001022,1.243255,0.000506,0.05325,0.009842,-0.012552,0.998454,-0.081493,0.879254,0.26394,0.179763,-0.092133,0.190054,-0.960769,0.092775,0.849124,0.248734,-0.092522,0.032218,0.008841,0.99515,1,0,0,0,0,0,0,0,0,0,0
22,0.001817,1.243999,0.00061,0.050747,0.010243,-0.013999,0.998561,-0.080546,0.878951,0.263563,0.180702,-0.095429,0.194563,-0.959367,0.092649,0.849013,0.248546,-0.0953,0.029568,0.011559,0.994942,1,0,0,0,0,0,0,0,0,0,0
23,0.00956,1.240825,0.001815,0.058732,0.024192,-0.025724,0.997649,-0.078369,0.877496,0.262547,0.180147,-0.101204,0.197892,-0.958198,0.092856,0.848854,0.248376,-0.09489,0.030012,0.012704,0.994954,1,0,0,0,0,0,0,0,0,0,0
24,0.007153,1.239513,0.002858,0.062765,0.020529,-0.024155,0.997525,-0.078777,0.876973,0.262419,0.179645,-0.102239,0.198607,-0.958034,0.092034,0.848298,0.247952,-0.094787,0.029331,0.013402,0.994975,0,0,0,0,0,0,0,1,0,0,0
25,0.000523,1.243702,0.002567,0.049294,0.001722,-0.020632,0.99857,-0.0782,0.8772,0.26213,0.179818,-0.103394,0.199576,-0.957677,0.09202,0.848622,0.248047,-0.093916,0.030265,0.014264,0.995018,0,0,0,0,0,0,0,1,0,0,0
26,0.00701,1.243453,0.004039,0.04551,0.016115,-0.025759,0.998502,-0.077571,0.877214,0.261957,0.179976,-0.103863,0.199426,-0.957628,0.092234,0.848696,0.248059,-0.093886,0.029491,0.015644,0.995023,0,0,0,0,0,0,0,1,0,0,0
27,0.009734,1.240675,0.00428,0.055341,0.021839,-0.029583,0.99779,-0.077389,0.876819,0.261776,0.180574,-0.104641,0.200409,-0.957225,0.091452,0.847678,0.247793,-0.092992,0.025151,0.016886,0.995206,0,0,0,0,0,0,0,1,0,0,0
28,0.009976,1.241532,0.003668,0.054067,0.022653,-0.030772,0.997806,-0.077437,0.876755,0.261769,0.180342,-0.104835,0.201046,-0.957114,0.090528,0.84789,0.248031,-0.092281,0.037827,0.022921,0.99475,0,0,0,0,0,0,0,1,0,0,0
