participant,accuracy,precision,recall,f1
arpit,0.9225806451612903,1.0,0.7575757575757576,0.8620689655172413
himanshu,0.554140127388535,0.4067796610169492,1.0,0.5783132530120482
jatin,0.9312169312169312,0.9038461538461539,0.9690721649484536,0.9353233830845771
mihir,0.9459459459459459,0.9801324503311258,0.9192546583850931,0.9487179487179487
riya,0.37174721189591076,0.3474903474903475,1.0,0.5157593123209169
rounak,0.8159509202453987,0.21052631578947367,1.0,0.34782608695652173
shreya,0.7547169811320755,0.9722222222222222,0.28,0.43478260869565216
shreyadeb,0.6533333333333333,1.0,0.6176470588235294,0.7636363636363637
shubham,0.9146757679180887,0.7641509433962265,1.0,0.8663101604278075
vaishnavi,0.9620253164556962,1.0,0.9454545454545454,0.9719626168224299
